Date,Open,High,Low,Close,Volume
2025-01-01,151.49,151.88,150.58,151.21,1526861
2025-01-02,150.6,152.14,149.75,150.98,3044424
2025-01-03,152.05,152.63,151.65,152.54,3656807
2025-01-06,156.34,156.66,154.99,156.12,3592705
2025-01-07,155.56,156.2,153.64,155.66,3859244
2025-01-08,155.54,155.86,154.59,155.21,1886040
2025-01-09,159.21,159.38,158.52,158.98,1322918
2025-01-10,160.87,160.92,160.71,160.91,2072328
2025-01-13,159.46,159.95,159.17,159.87,3938613
2025-01-14,160.53,161.89,160.05,161.27,3245909
2025-01-15,160.03,160.26,159.96,160.24,4459565
2025-01-16,159.63,160.03,159.09,159.22,1116739
2025-01-17,159.99,161.16,158.96,159.89,2890969
2025-01-20,154.82,156.14,154.62,155.4,2286585
2025-01-21,151.55,153.18,151.22,151.47,1780316
2025-01-22,150.46,151.04,149.98,150.29,4353708
2025-01-23,147.7,148.74,147.34,148.09,4402337
2025-01-24,148.95,149.08,148.56,148.88,4534550
2025-01-27,146.97,148.58,146.65,146.94,3433828
2025-01-28,143.42,144.5,143.12,143.92,4489866
2025-01-29,147.32,147.94,146.95,147.17,2366853
2025-01-30,147.0,147.44,145.23,146.76,2014929
2025-01-31,147.47,149.04,146.35,146.99,2566847
2025-02-03,144.39,144.77,143.7,143.94,3420564
2025-02-04,142.26,143.39,141.41,142.85,3582569
2025-02-05,142.77,143.28,142.48,143.17,2480035
2025-02-06,141.01,141.25,139.35,140.79,1188456
2025-02-07,141.88,143.22,140.95,141.67,3653093
2025-02-10,140.69,141.36,139.16,140.47,4303457
2025-02-11,141.56,141.97,139.7,139.94,3006032
2025-02-12,139.0,139.63,138.75,138.77,1228504
2025-02-13,143.19,143.54,141.51,142.7,2694693
2025-02-14,143.17,144.11,142.53,142.76,3749817
2025-02-17,140.86,142.15,140.43,140.58,3044491
2025-02-18,142.27,143.24,141.68,142.4,2574486
2025-02-19,140.2,140.53,138.33,139.88,1573044
2025-02-20,140.07,141.6,139.91,140.4,2089385
2025-02-21,136.26,137.28,135.74,136.36,2589589
2025-02-24,133.53,133.8,132.54,133.72,1716756
2025-02-25,134.23,135.06,133.43,134.2,1051226
2025-02-26,136.71,137.8,135.53,135.76,3596664
2025-02-27,135.43,136.6,135.15,136.19,4751198
2025-02-28,136.32,136.32,135.61,136.04,4621509
2025-03-03,134.85,135.54,133.32,135.51,4175130
2025-03-04,132.4,132.88,132.28,132.58,4149991
2025-03-05,131.66,132.07,131.07,131.23,4138145
2025-03-06,130.43,131.12,130.1,130.4,4897611
2025-03-07,132.12,132.64,131.56,132.55,2226476
2025-03-10,133.03,133.39,132.47,133.31,1572212
